,train_loss,val_loss,sim
0,0.0114,0.0003,-0.0074
1,0.0005,0.0001,-0.0035
2,0.0002,0.0000,-0.0015
3,0.0002,0.0001,0.0008
4,0.0002,0.0000,-0.0007
